WKT,name,group
"POINT (-0.2089447 51.5284574)",Queen's Park Gardens,Park,
"POINT (-0.111768 51.4667627)",Max Roach Park,Park,
"POINT (-0.1098241 51.46952109999999)",Angell Town Park,Park,
"POINT (-0.1120859 51.4700776)",Max Roach Park (northern part),Park,
"POINT (-0.1121674 51.4685221)",Max Roach Park (central part),Park,
"POINT (-0.1025325 51.469429)",Elam Street Open Space,Park,
"POINT (-0.1042439 51.47367029999999)",Myatt's Fields Park,Park,
"POINT (-0.109457 51.47518729999999)",Eythorne Park,Park,
"POINT (-0.1092608 51.48338529999999)",Kennington Park,Park,
"POINT (-0.1009904 51.4862244)",Pasley Park,Park,
"POINT (-0.0970023 51.4933858)",Elephant Park,Park,
"POINT (-0.0928447 51.4933126)",Victory Community Park,Park,
"POINT (-0.1320622 51.51529499999999)",Soho Square Gardens,Park,
"POINT (-0.1468308 51.5244239)",Park Square,Park,
"POINT (-0.1050622 51.4625834)",Loughborough Park,Park,
"POINT (-0.1007761 51.4608229)",Milkwood Community Park,Park,
"POINT (-0.090782 51.456896)",Sunray Gardens,Park,
"POINT (-0.097715 51.51676699999999)",Postman's Park,Park,
