name,WKT,group
Everyman Maida Vale,"POLYGON((-0.1945745511282888 51.522724911304984, -0.20409329971169404 51.529572150808725, -0.198940619500518 51.53807216706959, -0.19281426329443124 51.53809081473162, -0.16289185752446564 51.532358880267125, -0.17335822571215626 51.518798620160695, -0.1945745511282888 51.522724911304984))",Cinema
Everyman Screen on the Green,"POLYGON((-0.11194130201841612 51.53791641599207, -0.0886434647251756 51.53778731778192, -0.09452517497012052 51.532099536020446, -0.11194130201841612 51.53791641599207))",Cinema
Everyman Stratford International,"POLYGON((-0.022109502867252356 51.554030454587505, -0.013853076001494281 51.55130872771425, 0.003949707931543704 51.52394602130146, -0.0001329775532034509 51.52333879733327, -0.004545014492127937 51.52367246503986, -0.022951971162414833 51.52607470317591, -0.03397917033907421 51.53412782523623, -0.03359341961582057 51.53732625474549, -0.022109502867252356 51.554030454587505))",Cinema
Finsbury Park Picturehouse,"POLYGON((-0.09771055805552846 51.55246602466194, -0.1026901688986368 51.55217800065592, -0.12457937546372917 51.570162219891685, -0.12218434644201472 51.570910768466156, -0.0975532150329477 51.57439231074942, -0.0970566688757982 51.574460852143424, -0.09655241798021885 51.57450218675406, -0.0960443 51.57451599999999, -0.09553618201978115 51.57450218675406, -0.0950319311242018 51.574460852143424, -0.0945353849670523 51.57439231074942, -0.09405032256441134 51.57429708421344, -0.07596771362969801 51.569915700770984, -0.09771055805552846 51.55246602466194))",Cinema
Genesis Cinema,"POLYGON((-0.022951971162414833 51.52607470317591, -0.04740797142283223 51.50555204107811, -0.06767967702190017 51.52462007663501, -0.06298619462606 51.53227425794567, -0.03397917033907421 51.53412782523623, -0.022951971162414833 51.52607470317591))",Cinema
Greenwich Picturehouse,"POLYGON((-0.008100642556414989 51.49261158042295, 0.0023030801201996617 51.484459957945845, -0.007270052432734732 51.463899986866274, -0.007422992020818154 51.463597966879725, -0.007617625601576331 51.46330539570988, -0.007852471895936724 51.463024499999996, -0.00812574358179518 51.46275741753604, -0.00843536089661636 51.46250618097683, -0.008778967465682429 51.46227270238429, -0.009153948235527476 51.462058758671475, -0.009557449376073402 51.461865978079224, -0.0099864 51.46169582778426, -0.01043753553405172 51.46154960273305, -0.010907422564411351 51.46142841578654, -0.011392484967052308 51.46133318925057, -0.0118890311242018 51.46126464785656, -0.032604652243398154 51.45857310492422, -0.044255512890499255 51.48878081100571, -0.03570654669893387 51.490262616502726, -0.010663590408360851 51.49320377394731, -0.008100642556414989 51.49261158042295))",Cinema
Hackney Picturehouse,"POLYGON((-0.03359341961582057 51.53732625474549, -0.03397917033907421 51.53412782523623, -0.06298619462606 51.53227425794567, -0.0710552148883477 51.5379672968344, -0.0600502881533427 51.55545623882554, -0.03359341961582057 51.53732625474549))",Cinema
Hunterian Museum,"POLYGON((-0.10780525941921229 51.52343991553547, -0.10323665438102057 51.516217461364356, -0.11312504223925723 51.51100229078166, -0.12078707904196179 51.510946561827375, -0.12132681057211303 51.511520310090546, -0.12346969826227096 51.5144459783941, -0.12439683938534354 51.51642434666388, -0.12341918891229187 51.51850473419093, -0.10780525941921229 51.52343991553547))",Cinema
Lexi Cinema,"POLYGON((-0.198940619500518 51.53807216706959, -0.20409329971169404 51.529572150808725, -0.22187510976122227 51.52407066913889, -0.2485217095235986 51.525206007822106, -0.25278505301368775 51.53341314961129, -0.22534323253431757 51.551742097615694, -0.22496825176447252 51.55195604132851, -0.22456475062392658 51.55214882192076, -0.2241358 51.55231897221572, -0.22368466446594829 51.55246519726693, -0.22321477743558865 51.55258638421344, -0.2227297150329477 51.55268161074942, -0.21031565921566225 51.55501387287788, -0.198940619500518 51.53807216706959))",Cinema
ODEON Greenwich,"POLYGON((-0.008100642556414989 51.49261158042295, 0.008018773364505889 51.49673540562745, 0.0023030801201996617 51.484459957945845, -0.008100642556414989 51.49261158042295))",Cinema
ODEON Luxe & Dine Islington,"POLYGON((-0.08553455205641332 51.54018976812839, -0.0886434647251756 51.53778731778192, -0.11194130201841612 51.53791641599207, -0.11392659695465163 51.538300669173495, -0.11567118997703439 51.54764994551337, -0.1026901688986368 51.55217800065592, -0.09771055805552846 51.55246602466194, -0.08553455205641332 51.54018976812839))",Cinema
ODEON Luxe Acton,"POLYGON((-0.2485217095235986 51.525206007822106, -0.2573210454955142 51.512608135201845, -0.2631773475989501 51.510509529109555, -0.26553111508987487 51.523142324653826, -0.2655533 51.5234587, -0.26553111508987487 51.52377507534617, -0.26546472920006114 51.52408904288493, -0.26535464756726523 51.52439821313372, -0.26520170797918186 51.52470023312027, -0.26500707439842364 51.524992804290115, -0.26477222810406326 51.5252737, -0.2644989564182048 51.525540782463956, -0.26418933910338366 51.525792019023164, -0.26384573253431753 51.526025497615706, -0.25278505301368775 51.53341314961129, -0.2485217095235986 51.525206007822106))",Cinema
ODEON Luxe Haymarket,"POLYGON((-0.13117012880842466 51.51026056466603, -0.12548200277543003 51.50407205309539, -0.12642966886733462 51.502153625269706, -0.12868364135702312 51.502560415560474, -0.13297112352478993 51.50965150276695, -0.13203953222104442 51.51045872992421, -0.13117012880842466 51.51026056466603))",Cinema
ODEON Luxe Holloway,"POLYGON((-0.12457937546372917 51.570162219891685, -0.1026901688986368 51.55217800065592, -0.11567118997703439 51.54764994551337, -0.1283217005750853 51.54827444087782, -0.14446281535446276 51.55669888105252, -0.1489668437270571 51.566539640209356, -0.1363824150329477 51.56890391074943, -0.12730114683157465 51.57018752288659, -0.12457937546372917 51.570162219891685))",Cinema
