name,WKT,group
Embassy of the Republic of Equatorial Guinea,"POLYGON((-0.1374163422628257 51.50613258996986, -0.1423111770012943 51.50470870507929, -0.14357234543397637 51.50750249405653, -0.14320536208722098 51.509198057665, -0.14317672860369451 51.50927739580105, -0.13898378168493983 51.50792623327216, -0.1374163422628257 51.50613258996986))",Consulate
Embassy of Eritrea in United Kingdom & Ireland,"POLYGON((-0.06216129992672885 51.566570431699674, -0.054984822564411354 51.56483158421345, -0.05451493553405173 51.56471039726694, -0.0540638 51.56456417221573, -0.006350999999999999 51.54883567221574, -0.005922049376073402 51.548665521920775, -0.005518548235527476 51.548472741328524, -0.0051435674656824274 51.54825879761571, -0.004799960896616358 51.54802531902317, 0.0011220391033836415 51.543522619023165, 0.0014316564182048218 51.543271382463956, 0.0017049281040632772 51.5430043, 0.004492628104063277 51.5398193, 0.004727474398423669 51.53953840429011, 0.009083874398423668 51.534022604290115, 0.009278507979181845 51.53373003312027, 0.009431447567265269 51.53342801313372, 0.009541529200061172 51.53311884288493, 0.010849629200061172 51.52872344288493, 0.012540990220176709 51.521059586830745, -0.09401349431877319 51.52294125405862, -0.10071898010682184 51.52462617804325, -0.11126217268864219 51.527481385595614, -0.12586752126865633 51.54883046680447, -0.06216129992672885 51.566570431699674))",Consulate
Embassy of Estonia,"POLYGON((-0.18138796727292805 51.49860696724358, -0.1817107880882915 51.49839419357072, -0.18548175285548668 51.49716755114535, -0.18457709588258253 51.49859957791996, -0.18309483105037805 51.49978330322384, -0.18259315172578935 51.499875565116746, -0.18187306343252388 51.49971808493744, -0.18133466803571477 51.49882822429032, -0.18138796727292805 51.49860696724358))",Consulate
High Commission of Eswatini,"POLYGON((-0.1362830171284095 51.500576267375564, -0.1375742968851629 51.49931675056022, -0.14052127948703658 51.49937552732543, -0.13833739301123033 51.50207798827476, -0.13649215020019337 51.50187534234397, -0.1362830171284095 51.500576267375564))",Consulate
"Embassy of Ethiopia, London","POLYGON((-0.1732893913277258 51.50094336361915, -0.17342822805315158 51.50728382111461, -0.1676675818238443 51.506955032702955, -0.16871585421806115 51.50401009242371, -0.17328697597051904 51.50093133677339, -0.1732893913277258 51.50094336361915))",Consulate
"High Commission of Fiji, London","POLYGON((-0.18187306343252388 51.49971808493744, -0.18259315172578935 51.499875565116746, -0.1826534713095453 51.50048837677637, -0.17847246273087208 51.50321031997529, -0.1783648510710629 51.50273168717184, -0.18084795309718849 51.50014045025383, -0.18187306343252388 51.49971808493744))",Consulate
Embassy of Finland,"POLYGON((-0.15345169155465535 51.49743695914464, -0.15508319632941267 51.49341026786491, -0.15575559077988194 51.49376522034638, -0.15479265787755978 51.497829254676155, -0.15468086536809378 51.49789129402623, -0.15400094416657711 51.49779161138529, -0.15345169155465535 51.49743695914464))",Consulate
"Embassy of France, London","POLYGON((-0.1582841795925374 51.500999971222015, -0.15878684759448838 51.50104413416949, -0.15774061858849692 51.506407972093896, -0.15616933980461561 51.50574186697222, -0.1561537850297721 51.50198683281758, -0.15653630916766653 51.50160413597136, -0.1582841795925374 51.500999971222015))",Consulate
Embassy of Gabon,"POLYGON((-0.17994109301468497 51.49780825118706, -0.18058287859462901 51.4965107275606, -0.18083419898032219 51.496574964526246, -0.1817107880882915 51.49839419357072, -0.18138796727292805 51.49860696724358, -0.1810716888250701 51.49845221944424, -0.17994109301468497 51.49780825118706))",Consulate
The Gambia High Commission,"POLYGON((-0.19181617320308278 51.49898018086413, -0.19288406223328566 51.4991495186944, -0.19282101097445217 51.500075286481334, -0.1860815480615725 51.50396745070298, -0.18592217213446857 51.50403145482484, -0.18714957561763185 51.50174820641397, -0.1873585713028175 51.50152334932987, -0.19181617320308278 51.49898018086413))",Consulate
Embassy of Georgia,"POLYGON((-0.13218064239442476 51.48610613289762, -0.14385534436473085 51.48338699349937, -0.13923138479821554 51.490918301285745, -0.13425973899780222 51.49129471162678, -0.13218064239442476 51.48610613289762))",Consulate
Embassy of Germany,"POLYGON((-0.15350245976419735 51.49847440086391, -0.15400094416657711 51.49779161138529, -0.15468086536809378 51.49789129402623, -0.15457323712027454 51.49821647309962, -0.1536605836252395 51.49886499330774, -0.15362693540184805 51.49881135741168, -0.1535019334402009 51.49849558886031, -0.15350245976419735 51.49847440086391))",Consulate
Ghana High Commission,"POLYGON((-0.15670464654507993 51.49930055741396, -0.15373440929636592 51.49917149647429, -0.15557881791993244 51.498524699617036, -0.1573868764855267 51.49842293917156, -0.15740283284532514 51.498444328522694, -0.15744472007550478 51.49850752681382, -0.15710160977114165 51.49918095840738, -0.15670464654507993 51.49930055741396))",Consulate
Embassy of Greece in London,"POLYGON((-0.1979807070750144 51.50617214523216, -0.20569918032440793 51.500389910854395, -0.20688103181248294 51.50051263184138, -0.20677313817386647 51.504746725415096, -0.2058355541455994 51.505767652852604, -0.1990395427091914 51.507492316398185, -0.1981503347336408 51.50651095437238, -0.1979807070750144 51.50617214523216))",Consulate
High Commission for Grenada,"POLYGON((-0.11646535741919353 51.519114858244265, -0.11722430405724638 51.52064238387797, -0.10601322022246307 51.51916806160459, -0.1060933160623748 51.51912910687773, -0.11646535741919353 51.519114858244265))",Consulate
Embassy of Guatemala,"POLYGON((-0.1895563233607642 51.51296346077173, -0.1958947502324788 51.51222880203835, -0.19663096495230736 51.51222772948651, -0.20441131558094536 51.52170101226863, -0.20682860007604448 51.53053302899283, -0.1892804922938824 51.53675539974892, -0.1831481652877363 51.525767721463694, -0.1895563233607642 51.51296346077173))",Consulate
Embassy of Guinea,"POLYGON((-0.16689793319359789 51.51512619014006, -0.17709558917007598 51.5183631223525, -0.18102043754426247 51.52372398978644, -0.16861138039505477 51.52072590279698, -0.16521493322479414 51.51838632669513, -0.16689793319359789 51.51512619014006))",Consulate
Guyana High Commission,"POLYGON((-0.1929846282095804 51.50993189811594, -0.1958947502324788 51.51222880203835, -0.1895563233607642 51.51296346077173, -0.18774644947168867 51.51129045061761, -0.19248657008183395 51.5097117934274, -0.1929846282095804 51.50993189811594))",Consulate
The Embassy of Republic of Haiti,"POLYGON((-0.12624861772824497 51.5182653512648, -0.12527845985462352 51.524075431639986, -0.12402395150215624 51.52396590881328, -0.12158278668358757 51.52205492772737, -0.11910616503452724 51.51582257160204, -0.1207611801585754 51.51524063939055, -0.12624861772824497 51.5182653512648))",Consulate
Embassy of Honduras,"POLYGON((-0.15609834333205092 51.52484189222787, -0.15507845389981606 51.52152227524177, -0.15534557962749398 51.52034959485164, -0.16006418009380108 51.521483722294676, -0.15609834333205092 51.52484189222787))",Consulate
Embassy of Hungary - Magyarország Nagykövetsége London,"POLYGON((-0.1515801750394496 51.49780781969401, -0.15364595412830995 51.49351290889906, -0.1545337965027832 51.49303926983899, -0.15508319632941267 51.49341026786491, -0.15345169155465535 51.49743695914464, -0.15314681636376923 51.497626414859226, -0.15209826392811743 51.497801733823835, -0.1515801750394496 51.49780781969401))",Consulate
Embassy of Iceland,"POLYGON((-0.15737893889732932 51.498396284856256, -0.15745592464322877 51.49450184438822, -0.16357453070675804 51.49544737342858, -0.1633093945512069 51.49643156534603, -0.15740283284532514 51.498444328522694, -0.1573868764855267 51.49842293917156, -0.15737893889732932 51.498396284856256))",Consulate
High Commission of India,"POLYGON((-0.11910616503452724 51.51582257160204, -0.11714729570503343 51.5157431636157, -0.11577273255246665 51.507267989188925, -0.12358850144425276 51.512968470087756, -0.1207611801585754 51.51524063939055, -0.11910616503452724 51.51582257160204))",Consulate
Embassy of the Republic of Indonesia,"POLYGON((-0.12891409968475684 51.49892110480697, -0.11728403306423578 51.49950131634641, -0.10291453041086562 51.49627519796131, -0.0976087971622307 51.493435263627845, -0.13095254900143727 51.49324964131932, -0.1312917755416574 51.493476151639555, -0.13280719052148793 51.49768410852305, -0.13260277925609518 51.498304959215176, -0.12891409968475684 51.49892110480697))",Consulate
Embassy of The Islamic Republic of Iran,"POLYGON((-0.16871585421806115 51.50401009242371, -0.1691568113392346 51.50266251370634, -0.17223196148702324 51.49986525329507, -0.17325965023145742 51.50060388791816, -0.17328697597051904 51.50093133677339, -0.16871585421806115 51.50401009242371))",Consulate
Embassy of the Republic of Iraq,"POLYGON((-0.18133466803571477 51.49882822429032, -0.18187306343252388 51.49971808493744, -0.18084795309718849 51.50014045025383, -0.17872349749395627 51.499159539947264, -0.18133466803571477 51.49882822429032))",Consulate
Embassy of Ireland,"POLYGON((-0.1514037574409485 51.500850744144024, -0.15068394415980807 51.502423030756674, -0.149786010532066 51.50314848223208, -0.14842350798948326 51.503019082077316, -0.1452838381721416 51.50207811619233, -0.14624515567425797 51.49806917243311, -0.14957177311065112 51.49857774303516, -0.15028552353494234 51.49895940830729, -0.1511425961720229 51.500218352827304, -0.15130220232446612 51.500527603759146, -0.1514037574409485 51.500850744144024))",Consulate
Embassy of Israel,"POLYGON((-0.19397895842978918 51.503223261141144, -0.1860815480615725 51.50396745070298, -0.19282101097445217 51.500075286481334, -0.19397895842978918 51.503223261141144))",Consulate
Embassy of Italy,"POLYGON((-0.14624515567425797 51.49806917243311, -0.1452838381721416 51.50207811619233, -0.142612718068237 51.50284593637986, -0.14153441549918752 51.50258626476852, -0.14113383748261268 51.49907774384789, -0.1430086466801807 51.49611215505542, -0.1454900341505763 51.49702042739679, -0.14624515567425797 51.49806917243311))",Consulate
High Commission of Jamaica,"POLYGON((-0.17223196148702324 51.49986525329507, -0.1720300608400734 51.498060700215, -0.17531220252217908 51.49777562987403, -0.17684795312600135 51.498714184972606, -0.17706263815989762 51.49898108343538, -0.17727796669937868 51.50118766235792, -0.17325965023145742 51.50060388791816, -0.17223196148702324 51.49986525329507))",Consulate
Embassy of Japan in the UK,"POLYGON((-0.1452838381721416 51.50207811619233, -0.14842350798948326 51.503019082077316, -0.1469218174499371 51.506192776688096, -0.14357234543397637 51.50750249405653, -0.1423111770012943 51.50470870507929, -0.142612718068237 51.50284593637986, -0.1452838381721416 51.50207811619233))",Consulate
Embassy of the Hashemite Kingdom of Jordan in London,"POLYGON((-0.19873658271160569 51.49661802487702, -0.20569918032440793 51.500389910854395, -0.1979807070750144 51.50617214523216, -0.19518768350006835 51.5051021253164, -0.19397895842978918 51.503223261141144, -0.19282101097445217 51.500075286481334, -0.19288406223328566 51.4991495186944, -0.19873658271160569 51.49661802487702))",Consulate
Embassy of Kazakhstan,"POLYGON((-0.13219490554726546 51.508139826055356, -0.1306748827146771 51.50776651952191, -0.13201762115404092 51.50668680812772, -0.13219490554726546 51.508139826055356))",Consulate
Kenya High Commission,"POLYGON((-0.14977243512745028 51.51965573945832, -0.14938314819980134 51.520854871586536, -0.14611736572583806 51.520891497122115, -0.14496289619802666 51.52055049447127, -0.14977243512745028 51.51965573945832))",Consulate
Embassy of the Republic of Korea in the UK,"POLYGON((-0.13770001940116522 51.49581736697536, -0.1403628264030845 51.495961004739016, -0.1375742968851629 51.49931675056022, -0.1362830171284095 51.500576267375564, -0.13425405259300477 51.49899306909704, -0.13770001940116522 51.49581736697536))",Consulate
Embassy of Republic of Kosovo in London - Ambasada e Republikës së Kosovës në Londër,"POLYGON((-0.12402395150215624 51.52396590881328, -0.11126217268864219 51.527481385595614, -0.10071898010682184 51.52462617804325, -0.11820644473417395 51.52103045154454, -0.12158278668358757 51.52205492772737, -0.12402395150215624 51.52396590881328))",Consulate
Embassy of Kuwait,"POLYGON((-0.1651769279556584 51.50599171769145, -0.16580896628774106 51.507186525873976, -0.16336676371418474 51.508289461542546, -0.16007548783217926 51.50749041808526, -0.15774061858849692 51.506407972093896, -0.15878684759448838 51.50104413416949, -0.1599269667164521 51.50105987592458, -0.1651769279556584 51.50599171769145))",Consulate
Embassy of Kyrgyzstan,"POLYGON((-0.16006418009380108 51.521483722294676, -0.15534557962749398 51.52034959485164, -0.15528289858386402 51.52027244758907, -0.15924301806944308 51.51933128955741, -0.16083335023226392 51.52048749024655, -0.16071353689621257 51.521356718443364, -0.16006418009380108 51.521483722294676))",Consulate
Embassy of Laos,"POLYGON((-0.18050079055384935 51.50739796475047, -0.18551960255309619 51.50952249555278, -0.18774644947168867 51.51129045061761, -0.1895563233607642 51.51296346077173, -0.1831481652877363 51.525767721463694, -0.18102043754426247 51.52372398978644, -0.17709558917007598 51.5183631223525, -0.17810232975390147 51.50781370417898, -0.1790394335736394 51.507497214336894, -0.18050079055384935 51.50739796475047))",Consulate
Embassy of Latvia,"POLYGON((-0.15609834333205092 51.52484189222787, -0.15035290498980114 51.540261334642636, -0.14785199210533886 51.52567391213334, -0.1489716206380774 51.52310828209475, -0.15507845389981606 51.52152227524177, -0.15609834333205092 51.52484189222787))",Consulate
Latvian Consulate,"POLYGON((-0.16543264282743328 51.52027548264666, -0.1655668519213196 51.520293974773274, -0.16861138039505477 51.52072590279698, -0.18102043754426247 51.52372398978644, -0.1831481652877363 51.525767721463694, -0.1892804922938824 51.53675539974892, -0.18496104926522558 51.54070263047306, -0.16127960731871718 51.52157329179766, -0.16543264282743328 51.52027548264666))",Consulate
Embassy of Lebanon,"POLYGON((-0.19036146833865875 51.50874264468371, -0.1936065635556609 51.5054308988304, -0.19518768350006835 51.5051021253164, -0.1979807070750144 51.50617214523216, -0.1981503347336408 51.50651095437238, -0.19359448317228145 51.50832436140834, -0.19169064239671368 51.508828565160535, -0.19036146833865875 51.50874264468371))",Consulate
High Commission of the Kingdom of Lesotho,"POLYGON((-0.15479265787755978 51.497829254676155, -0.15575559077988194 51.49376522034638, -0.15745592464322877 51.49450184438822, -0.15737893889732932 51.498396284856256, -0.15479265787755978 51.497829254676155))",Consulate
