name,WKT,group
Great Ormond Street Hospital for Children,"POLYGON((-0.13194871388674184 51.51079566936217, -0.13237301609018776 51.512175440804356, -0.12686411125756167 51.52961547772096, -0.10903631150923229 51.53544413034215, -0.10576095644144777 51.52634604791397, -0.11849101845483977 51.511198482794256, -0.13194871388674184 51.51079566936217))",Hospital
Moorfields Eye Hospital,"POLYGON((-0.10903631150923229 51.53544413034215, -0.10334370272637106 51.54574592454703, -0.07412728289386822 51.52340893483076, -0.0785548741986378 51.5175407094541, -0.08374517911324066 51.517163120658644, -0.10576095644144777 51.52634604791397, -0.10903631150923229 51.53544413034215))",Hospital
North London NHS Foundation Trust,"POLYGON((-0.15164246212601204 51.533455608905115, -0.1531968734262282 51.53416803035921, -0.15448603390988994 51.540971165967846, -0.14160558300791165 51.55078360060035, -0.10235744590880982 51.55412284951218, -0.10334370272637106 51.54574592454703, -0.10903631150923229 51.53544413034215, -0.12686411125756167 51.52961547772096, -0.15164246212601204 51.533455608905115))",Hospital
Charing Cross Hospital,"POLYGON((-0.1981426643829275 51.50025398483925, -0.21951839060884845 51.374580905965374, -0.22578473621075795 51.376195637977155, -0.24374056577933725 51.38200905841522, -0.26082124622922914 51.388774596434494, -0.27689740460835666 51.39644117222343, -0.2918470764515974 51.40495087595806, -0.30555662211244583 51.414239395360035, -0.3179215871648769 51.42423649153141, -0.3288475004842914 51.43486651985141, -0.3382506038670689 51.446048992380575, -0.34605850734580035 51.457699177892486, -0.35221076470588314 51.46972873534592, -0.3543884097048888 51.47575837452473, -0.20486368300411584 51.50677197166822, -0.19866716690027364 51.50322705146042, -0.1981426643829275 51.50025398483925))",Hospital
Hammersmith Hospital,"POLYGON((-0.3543884097048888 51.47575837452473, -0.3566593641125862 51.48204637632309, -0.35936912921902114 51.49455855169627, -0.3603180266469093 51.50717015754791, -0.3594973763147951 51.51978525516257, -0.35691196173235046 51.53230779973479, -0.35258003808318034 51.54464237229982, -0.34653323667909375 51.55669490929619, -0.3388163651815198 51.56837342411378, -0.329487103844382 51.57958871497106, -0.31861559892934693 51.59025505350276, -0.3062839553694314 51.600290848525994, -0.29727554109769516 51.60642549489298, -0.22352974567541392 51.55212210375429, -0.20514038872166804 51.52506803420918, -0.20486368300411584 51.50677197166822, -0.3543884097048888 51.47575837452473))",Hospital
St John & St Elizabeth Hospital London,"POLYGON((-0.16454855077702593 51.52552657980849, -0.20514038872166804 51.52506803420918, -0.22352974567541392 51.55212210375429, -0.15448603390988994 51.540971165967846, -0.1531968734262282 51.53416803035921, -0.16454855077702593 51.52552657980849))",Hospital
King Edward VII's Hospital,"POLYGON((-0.1494251345796683 51.52041101772318, -0.16338395770526493 51.52225535297006, -0.16454855077702593 51.52552657980849, -0.1531968734262282 51.53416803035921, -0.15164246212601204 51.533455608905115, -0.14252998627204483 51.52187600414042, -0.1494251345796683 51.52041101772318))",Hospital
University College Hospital at Westmoreland Street,"POLYGON((-0.13194871388674184 51.51079566936217, -0.1333944399007763 51.509956195659534, -0.15987881416883984 51.509346471747584, -0.16077115719613846 51.5132817973859, -0.1494251345796683 51.52041101772318, -0.14252998627204483 51.52187600414042, -0.13237301609018776 51.512175440804356, -0.13194871388674184 51.51079566936217))",Hospital
Weymouth Street Hospital,"POLYGON((-0.16077115719613846 51.5132817973859, -0.16338395770526493 51.52225535297006, -0.1494251345796683 51.52041101772318, -0.16077115719613846 51.5132817973859))",Hospital
Guy's Hospital,"POLYGON((-0.060670219791785863 51.502058456730474, -0.03347115614168215 51.48255277009429, -0.0979349946534928 51.48650240338009, -0.10440692231716603 51.5058191527474, -0.10275682956590934 51.50650558631454, -0.060670219791785863 51.502058456730474))",Hospital
