name,WKT,group
Ferranti Park,"POLYGON((0.010923236789957113 51.47466464059237, -0.012809378714419593 51.47511179011635, -0.027525313672082705 51.47727197453608, -0.02699027732047018 51.47862930455929, -0.015807549023303242 51.48457342011795, 0.010923236789957113 51.47466464059237))",Park
Charlotte Turner Gardens,"POLYGON((-0.02699027732047018 51.47862930455929, -0.02848312747509091 51.48278169924745, -0.022261171538747487 51.48912839328398, -0.015807549023303242 51.48457342011795, -0.02699027732047018 51.47862930455929))",Park
Evelyn Green,"POLYGON((-0.027525313672082705 51.47727197453608, -0.028467575863519876 51.47687598427083, -0.036828374824330073 51.480581530784974, -0.03517864888749787 51.48339733140798, -0.02848312747509091 51.48278169924745, -0.02699027732047018 51.47862930455929, -0.027525313672082705 51.47727197453608))",Park
Sayes Court Park,"POLYGON((-0.02848312747509091 51.48278169924745, -0.03517864888749787 51.48339733140798, -0.03572300841724722 51.48453521805757, -0.0320280390139763 51.49129595108482, -0.022844767959193504 51.49005623977271, -0.022261171538747487 51.48912839328398, -0.02848312747509091 51.48278169924745))",Park
Deptford Park,"POLYGON((-0.04779101756247936 51.485500378765906, -0.04818709231509278 51.48856536212691, -0.04024110507466923 51.49511495231363, -0.0320280390139763 51.49129595108482, -0.03572300841724722 51.48453521805757, -0.04779101756247936 51.485500378765906))",Park
Folkestone Gardens,"POLYGON((-0.036828374824330073 51.480581530784974, -0.04491814616235561 51.47859086249605, -0.048447029146480365 51.480645459544455, -0.04929926264192142 51.48168124350838, -0.04779101756247936 51.485500378765906, -0.03572300841724722 51.48453521805757, -0.03517864888749787 51.48339733140798, -0.036828374824330073 51.480581530784974))",Park
Southwark Park,"POLYGON((-0.06394689751571085 51.49504767210857, -0.062243460216803 51.50430656319197, -0.06207419484299603 51.5045680917744, -0.0544493887603294 51.50647366162258, -0.04320099946228159 51.50381595531688, -0.04024110507466923 51.49511495231363, -0.04818709231509278 51.48856536212691, -0.0605055877873614 51.49027253719725, -0.06394689751571085 51.49504767210857))",Park
Bramcote Park,"POLYGON((-0.06379935407234745 51.48521816816839, -0.06346795632702011 51.486299175742936, -0.0605055877873614 51.49027253719725, -0.04818709231509278 51.48856536212691, -0.04779101756247936 51.485500378765906, -0.04929926264192142 51.48168124350838, -0.05724713833491781 51.48174549266381, -0.06251520041481884 51.48395290548891, -0.06379935407234745 51.48521816816839))",Park
Paterson Park,"POLYGON((-0.07569351911432018 51.49041120738449, -0.06394689751571085 51.49504767210857, -0.0605055877873614 51.49027253719725, -0.06346795632702011 51.486299175742936, -0.0756622258565941 51.490257909040444, -0.07569351911432018 51.49041120738449))",Park
Avondale Square Playground,"POLYGON((-0.06346795632702011 51.486299175742936, -0.06379935407234745 51.48521816816839, -0.07449233838717391 51.483351530205994, -0.07652073599265327 51.48563566581295, -0.0756622258565941 51.490257909040444, -0.06346795632702011 51.486299175742936))",Park
Bermondsey Spa Gardens,"POLYGON((-0.08181065595169151 51.49554097586952, -0.062243460216803 51.50430656319197, -0.06394689751571085 51.49504767210857, -0.07569351911432018 51.49041120738449, -0.08039417132105335 51.4924471532099, -0.08181065595169151 51.49554097586952))",Park
Tanner Street Park,"POLYGON((-0.08398421986834662 51.49744665046171, -0.07751257606066823 51.50902378337294, -0.06207419484299603 51.5045680917744, -0.062243460216803 51.50430656319197, -0.08181065595169151 51.49554097586952, -0.0833760649871738 51.49609896899542, -0.08398421986834662 51.49744665046171))",Park
